Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132
250010605000001;1;1528;1526;1526;0;0;1191;0;252;0;83;0;1384;0;0;142;1499;243;0;1219;37;0;0;27;1478;1373;101;0;4;48;1515;9;1506;11;0;0;0;0;1526;1405;121;0;1394;0;11;770;768;768;0;0;595;0;129;0;44;0;694;0;0;74;755;113;0;621;21;0;0;13;743;691;50;0;2;25;761;4;757;7;0;0;0;0;768;705;63;0;702;0;3;758;758;758;0;0;596;0;123;0;39;0;690;0;0;68;744;130;0;598;16;0;0;14;735;682;51;0;2;23;754;5;749;4;0;0;0;0;758;700;58;0;692;0;8
250010605000002;1;500;500;500;0;0;393;0;73;0;34;0;491;0;0;9;499;411;0;87;0;0;1;1;498;387;87;18;6;2;497;7;490;3;0;0;0;0;495;495;0;5;480;5;10;225;225;225;0;0;174;0;31;0;20;0;221;0;0;4;224;184;0;39;0;0;1;1;223;171;40;8;4;2;223;2;221;2;0;0;0;0;222;222;0;3;215;2;5;275;275;275;0;0;219;0;42;0;14;0;270;0;0;5;275;227;0;48;0;0;0;0;275;216;47;10;2;0;274;5;269;1;0;0;0;0;273;273;0;2;265;3;5
250010605000003;1;889;889;876;0;13;657;0;129;0;103;0;887;2;0;0;887;674;5;206;2;0;0;2;883;665;206;8;4;6;889;0;889;0;0;0;0;0;888;888;0;1;825;17;46;409;409;405;0;4;304;0;59;0;46;0;408;1;0;0;408;309;2;96;1;0;0;1;406;309;93;2;2;3;409;0;409;0;0;0;0;0;408;408;0;1;381;8;19;480;480;471;0;9;353;0;70;0;57;0;479;1;0;0;479;365;3;110;1;0;0;1;477;356;113;6;2;3;480;0;480;0;0;0;0;0;480;480;0;0;444;9;27
250010605000004;8;860;860;860;0;0;694;15;5;11;135;0;253;142;59;406;318;0;4;274;31;0;9;542;246;229;17;0;0;614;31;0;31;559;4;266;0;0;846;846;0;14;635;43;168;453;453;453;0;0;361;7;3;4;78;0;130;73;38;212;167;0;1;146;14;0;6;286;128;120;8;0;0;325;17;0;17;296;2;138;0;0;447;447;0;6;335;22;90;407;407;407;0;0;333;8;2;7;57;0;123;69;21;194;151;0;3;128;17;0;3;256;118;109;9;0;0;289;14;0;14;263;2;128;0;0;399;399;0;8;300;21;78
250010605000005;5;667;667;665;0;2;560;12;8;0;87;0;648;0;0;19;614;115;91;408;0;0;0;53;610;550;60;0;0;57;494;0;494;23;0;149;0;1;664;664;0;3;622;27;15;325;325;324;0;1;277;4;5;0;39;0;316;0;0;9;303;57;44;202;0;0;0;22;301;266;35;0;0;24;238;0;238;12;0;75;0;0;323;323;0;2;303;14;6;342;342;341;0;1;283;8;3;0;48;0;332;0;0;10;311;58;47;206;0;0;0;31;309;284;25;0;0;33;256;0;256;11;0;74;0;1;341;341;0;1;319;13;9
250010605000006;8;604;604;604;0;0;501;0;4;0;90;9;4;4;140;456;333;0;0;259;24;3;47;271;307;281;26;0;0;297;34;0;34;535;2;27;0;6;601;601;0;3;558;2;41;287;287;287;0;0;239;0;1;0;43;4;2;2;64;219;155;0;0;122;10;1;22;132;144;130;14;0;0;143;14;0;14;257;1;12;0;3;285;285;0;2;266;1;18;317;317;317;0;0;262;0;3;0;47;5;2;2;76;237;178;0;0;137;14;2;25;139;163;151;12;0;0;154;20;0;20;278;1;15;0;3;316;316;0;1;292;1;23
250010605000007;8;371;371;371;0;0;336;0;0;0;35;0;6;11;23;331;247;0;0;219;24;0;4;124;238;230;6;0;2;133;8;0;8;206;0;157;0;0;371;371;0;0;364;0;7;187;187;187;0;0;170;0;0;0;17;0;2;5;15;165;127;0;0;117;8;0;2;60;124;120;3;0;1;63;3;0;3;110;0;74;0;0;187;187;0;0;184;0;3;184;184;184;0;0;166;0;0;0;18;0;4;6;8;166;120;0;0;102;16;0;2;64;114;110;3;0;1;70;5;0;5;96;0;83;0;0;184;184;0;0;180;0;4
250010605000008;8;552;552;552;0;0;510;5;0;11;26;0;33;86;0;433;311;0;0;264;45;0;2;241;295;265;16;0;14;257;0;0;0;407;18;122;5;0;552;552;0;0;407;83;62;284;284;284;0;0;262;2;0;7;13;0;17;47;0;220;158;0;0;133;24;0;1;126;150;134;9;0;7;134;0;0;0;210;8;62;4;0;284;284;0;0;213;38;33;268;268;268;0;0;248;3;0;4;13;0;16;39;0;213;153;0;0;131;21;0;1;115;145;131;7;0;7;123;0;0;0;197;10;60;1;0;268;268;0;0;194;45;29
250010605000009;8;785;785;785;0;0;724;3;5;8;45;0;43;72;7;663;527;0;0;452;36;16;23;258;502;473;29;0;0;283;0;0;0;540;8;218;19;0;776;776;0;9;697;38;41;403;403;403;0;0;373;2;2;3;23;0;20;33;4;346;263;0;0;227;14;9;13;140;248;234;14;0;0;155;0;0;0;270;6;117;10;0;399;399;0;4;360;18;21;382;382;382;0;0;351;1;3;5;22;0;23;39;3;317;264;0;0;225;22;7;10;118;254;239;15;0;0;128;0;0;0;270;2;101;9;0;377;377;0;5;337;20;20
250010605000010;8;581;581;581;0;0;528;0;0;0;53;0;0;255;7;319;220;0;0;202;0;0;18;361;215;188;27;0;0;366;80;0;80;291;0;210;0;0;577;574;3;4;462;21;91;311;311;311;0;0;286;0;0;0;25;0;0;136;5;170;116;0;0;104;0;0;12;195;113;102;11;0;0;198;40;0;40;151;0;120;0;0;310;308;2;1;249;9;50;270;270;270;0;0;242;0;0;0;28;0;0;119;2;149;104;0;0;98;0;0;6;166;102;86;16;0;0;168;40;0;40;140;0;90;0;0;267;266;1;3;213;12;41
