Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;
250010605000001;1;1034;7;14;17;23;35;38;25;39;40;36;46;26;29;21;29;34;25;26;33;16;11;13;10;22;16;15;20;23;13;17;17;16;13;14;11;12;20;16;14;12;10;9;14;9;7;6;2;6;5;5;7;3;3;2;3;3;6;6;3;3;2;1;6;3;7;3;4;3;4;5;2;2;3;4;0;9;272;207;407;6;26;6;13;0;
250010605000002;1;386;4;3;6;6;13;15;7;10;13;14;19;8;9;6;4;10;9;4;11;8;5;8;5;2;9;1;3;7;6;6;7;6;6;5;13;4;5;3;9;8;8;3;2;1;3;7;0;3;5;4;6;3;0;3;4;4;1;3;0;5;1;1;4;2;2;3;1;1;2;1;0;1;0;2;0;3;107;80;141;3;13;1;9;0;
250010605000003;1;707;5;11;15;12;10;17;24;8;19;18;12;18;13;11;17;13;11;9;13;8;15;9;15;15;14;15;10;10;11;14;14;9;11;10;6;16;12;12;14;4;11;9;4;5;5;5;6;11;4;5;8;14;5;4;4;7;3;7;10;4;5;2;4;4;10;7;3;4;3;4;1;1;5;2;3;18;235;147;205;9;15;10;19;10;
250010605000004;8;518;2;6;4;18;12;18;21;25;20;25;23;16;18;17;8;18;13;15;21;11;17;13;9;17;9;6;7;5;9;5;7;4;8;5;4;2;5;3;4;6;1;3;1;1;2;2;2;4;2;2;5;2;3;0;2;1;2;3;4;3;0;2;4;0;1;2;0;2;3;1;0;0;1;0;0;1;95;115;235;0;15;0;13;1;
250010605000005;5;407;0;1;3;7;13;13;10;14;14;18;13;10;10;14;14;15;13;8;12;19;8;11;11;7;19;10;7;1;8;2;2;3;6;3;1;6;1;4;4;4;2;1;4;4;3;6;0;1;3;5;4;4;2;4;1;2;1;3;5;2;0;0;1;0;0;3;0;2;0;0;0;0;1;0;0;4;115;86;152;1;18;1;9;0;
250010605000006;8;387;2;5;8;6;2;15;12;16;20;16;22;10;10;14;4;15;7;10;14;7;10;8;7;8;7;6;7;7;8;6;7;7;7;1;2;2;3;2;1;4;4;6;2;2;2;2;4;6;1;4;2;0;5;0;1;2;2;2;1;0;1;0;1;3;0;1;0;1;2;0;0;0;0;0;0;5;88;62;183;7;5;9;4;1;
250010605000007;8;261;2;3;3;4;4;4;8;2;6;3;8;6;7;9;6;11;3;8;10;5;9;7;14;5;6;5;6;3;2;6;2;4;2;2;4;2;2;2;2;4;3;3;3;3;1;1;1;4;2;4;4;1;0;1;3;2;1;4;3;0;0;5;0;1;2;1;1;0;0;1;1;1;0;1;0;2;61;61;108;1;6;2;5;1;
250010605000008;8;377;4;8;11;9;2;9;10;12;16;18;15;7;13;16;15;7;14;13;10;15;10;6;7;9;9;8;4;5;1;3;4;7;5;2;4;1;2;1;3;3;3;0;4;5;2;2;3;1;0;3;2;2;3;0;1;3;1;5;3;1;0;0;0;1;1;0;0;0;4;0;1;1;0;0;3;4;71;80;160;1;6;5;12;0;
250010605000009;8;592;7;7;13;11;15;20;12;23;21;21;20;20;15;26;15;20;15;18;11;16;9;10;9;6;6;9;7;6;7;10;5;6;5;6;7;12;6;7;6;5;11;8;7;6;7;3;4;4;5;4;2;4;4;3;2;1;1;3;2;1;1;0;2;3;5;2;3;4;1;0;2;2;2;1;2;10;123;122;260;5;7;13;9;0;
250010605000010;8;350;1;3;2;5;14;13;18;14;16;18;17;13;12;12;16;11;8;8;9;8;7;4;7;10;8;8;2;2;5;3;5;4;2;3;5;4;5;6;4;4;4;1;1;3;1;3;3;1;0;1;0;0;3;0;0;0;1;0;1;0;0;1;1;0;3;1;0;1;0;0;2;0;0;0;0;2;53;77;180;1;10;0;3;0;
250010605000011;1;852;3;14;18;17;24;27;18;21;28;19;28;21;15;21;17;19;21;14;17;19;26;14;11;20;19;19;17;21;16;15;16;12;13;16;12;20;12;9;12;16;12;13;8;6;4;6;3;6;6;5;7;2;5;5;2;2;2;3;6;4;5;4;5;4;0;3;5;4;3;0;4;2;1;1;1;6;266;197;260;4;24;5;16;0;
250010605000012;5;118;0;0;1;2;2;3;6;2;4;4;4;5;5;6;2;4;5;4;1;5;1;3;1;1;4;1;1;1;3;0;4;2;1;2;0;0;3;2;1;2;0;0;2;1;2;0;2;1;0;2;0;0;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;26;28;55;0;1;1;1;0;
250010605000013;5;109;0;1;3;0;6;5;2;4;6;4;7;3;4;1;3;5;2;4;2;1;4;0;7;3;1;2;1;3;0;0;3;2;1;0;0;1;0;0;3;0;2;1;2;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;2;22;23;52;0;0;1;1;0;
250010605000014;8;397;0;4;4;8;18;13;14;17;17;18;23;18;21;18;25;17;13;6;10;9;9;9;6;6;6;6;2;5;3;3;4;7;2;2;6;3;6;1;2;4;1;3;1;3;1;1;1;2;2;2;2;0;1;0;1;0;2;0;2;0;0;0;0;1;0;0;1;2;0;0;0;1;0;1;0;1;63;66;215;1;7;3;8;0;
250020505000001;1;704;1;4;9;9;16;17;15;15;22;12;20;16;22;21;22;20;9;10;18;13;14;11;9;25;8;15;16;14;17;8;12;9;11;14;7;13;16;4;7;12;10;10;11;6;9;8;5;6;5;4;4;7;11;3;5;1;1;6;0;4;0;5;2;5;3;2;4;1;5;3;3;1;4;5;3;9;211;145;251;6;27;5;11;4;
250020505000002;1;436;0;1;6;6;2;9;9;15;11;10;14;10;15;6;10;7;11;9;7;13;9;11;6;14;7;13;9;9;6;5;13;6;7;5;4;4;4;3;2;5;2;9;6;7;2;7;0;5;5;8;3;5;6;2;7;2;4;3;4;6;2;0;2;2;0;5;2;1;5;1;2;0;1;0;2;5;136;100;149;2;17;5;6;0;
250020505000003;8;176;0;0;1;4;3;1;5;12;6;5;7;5;6;8;7;6;5;3;5;6;5;3;2;3;3;3;3;2;1;1;2;4;0;3;0;2;5;5;3;3;2;1;2;3;0;1;0;1;0;2;1;1;1;0;1;0;0;1;1;0;0;0;1;0;0;0;2;2;1;1;0;0;0;1;0;2;37;49;76;0;1;1;4;0;
