Cod_setor;Situacao_setor;V001;V002;V003
250010605000001;1;331;3;0
250010605000002;1;86;0;0
250010605000003;1;152;0;0
250010605000004;8;185;1;0
250010605000005;5;140;0;0
250010605000006;8;107;1;0
250010605000007;8;67;0;0
250010605000008;8;108;0;0
250010605000009;8;160;0;0
250010605000010;8;112;0;0
250010605000011;1;249;0;0
250010605000012;5;25;0;0
250010605000013;5;46;0;0
250010605000014;8;125;0;0
250020505000001;1;176;1;0
250020505000002;1;85;0;0
250020505000003;8;62;0;0
250020505000004;8;53;0;0
250020505000005;8;44;0;0
250020505000006;8;134;0;0
250020505000007;8;70;0;0
250020505000008;8;25;0;0
250020505000009;8;148;0;0
250020505000010;8;3;0;0
250020505000011;1;192;0;0
250030405000001;1;82;0;0
250030405000002;1;159;0;0
250030405000003;1;119;0;0
250030405000004;1;66;0;0
250030405000005;1;117;0;0
250030405000006;1;61;0;0
250030405000007;1;103;0;0
250030405000008;1;127;0;0
250030405000009;1;163;0;0
250030405000010;1;184;1;0
250030405000011;1;102;0;0
250030405000012;1;127;2;0
250030405000013;1;120;0;0
250030405000014;1;77;0;0
250030405000015;1;203;0;0
250030405000016;8;246;3;0
250030405000017;8;20;0;0
250030405000018;5;225;0;0
250030405000019;5;115;0;0
250030405000020;8;99;0;0
250030405000021;8;59;0;0
250030405000022;8;54;0;0
250030405000023;8;55;0;0
250030405000024;8;3;0;0
250030405000025;8;86;0;0
250030405000026;8;4;0;0
250030405000027;8;88;0;0
250030405000028;8;107;2;0
250030405000029;8;123;1;0
250030405000030;5;257;0;0
250030405000031;5;215;0;0
250030405000032;8;69;0;0
250030405000033;8;85;1;0
250030405000034;8;78;0;0
250030405000035;8;77;1;0
250030405000036;8;244;0;0
250030405000037;1;69;0;0
250030405000038;1;135;0;0
250030405000039;1;151;0;0
250030405000040;1;215;0;0
250030405000041;1;128;1;0
250030405000042;1;181;1;0
250030405000043;1;163;2;0
250030405000044;1;209;2;0
250040305000001;1;138;3;0
250040305000002;1;177;2;0
250040305000003;1;208;1;0
250040305000004;1;221;1;0
250040305000005;1;191;2;1
250040305000006;1;239;0;0
250040305000007;1;342;2;0
250040305000008;1;126;0;0
250040305000009;8;107;1;0
250040305000010;8;111;0;0
250040305000011;8;284;2;1
250040305000012;8;90;0;0
250040305000013;8;72;2;0
250040305000014;8;231;3;0
250040305000015;8;196;0;0
250040305000016;8;201;5;0
250040305000017;5;84;1;0
250040305000018;8;272;0;0
250040305000019;8;38;0;0
250040305000020;8;119;1;1
250040305000021;8;122;1;0
250040305000022;8;84;0;0
250040305000023;1;136;1;0
250040305000024;1;87;0;0
250050205000001;1;173;0;0
250050205000002;1;164;0;0
250050205000003;1;300;1;0
250050205000004;1;267;0;0
250050205000005;1;171;3;0
250050205000006;1;380;0;0
250050205000007;1;162;0;0
250050205000008;1;251;1;0
250050205000009;8;102;0;0
250050205000010;8;82;0;0
250050205000011;8;56;0;0
250050205000012;8;67;0;0
250050205000013;8;109;1;0
250050205000014;8;57;0;0
250050205000015;8;39;0;0
250050205000016;8;77;0;0
250050205000017;8;137;0;0
250050205000018;5;76;0;0
250050205000019;5;32;0;0
250053605000001;1;101;1;0
250053605000002;1;149;0;0
250053605000003;8;73;0;0
250053605000004;5;83;2;0
250053605000005;8;117;0;0
250053605000006;8;61;0;0
250053605000007;8;130;0;0
250053605000008;8;32;0;0
250053605000009;1;121;0;0
250053605000010;5;85;0;0
250057705000001;1;140;0;0
250057705000002;8;81;0;0
250057705000003;8;38;0;0
250057705000004;8;100;0;0
250057705000005;1;140;0;0
250060105000001;1;168;0;0
250060105000002;1;311;2;0
250060105000003;1;217;2;0
250060105000004;1;196;3;0
250060105000005;1;166;0;0
250060105000006;1;83;0;0
250060105000007;1;100;0;0
250060105000008;1;95;2;0
250060105000009;8;130;0;0
250060105000010;8;33;1;0
250060105000011;8;72;0;0
250060105000012;8;123;0;0
250060105000013;8;9;0;0
250060105000014;8;116;0;0
250060105000015;5;277;2;0
250060105000016;5;106;1;0
250060105000017;8;91;0;0
250060105000018;8;22;0;0
250060105000019;1;159;0;0
250060105000020;1;87;1;0
250060105000021;1;94;0;0
250060105000022;1;116;0;0
250060105000023;1;189;0;0
250060105000024;1;196;1;8
250060105000025;1;174;0;1
250060105000026;8;21;0;0
250060105000027;5;193;0;0
250060105000028;5;119;0;0
250060105000029;5;99;0;0
250070005000001;1;119;0;0
250070005000002;1;154;0;0
250070005000003;1;138;1;0
250070005000004;1;155;0;0
250070005000005;1;68;0;0
250070005000006;1;211;1;0
250070005000007;8;92;0;0
250070005000008;8;154;0;0
250070005000009;8;55;0;0
250070005000010;8;138;0;0
250070005000011;8;71;1;0
250070005000012;8;78;0;0
250070005000013;8;120;0;0
250070005000014;8;41;0;0
250070005000015;8;81;0;0
250070005000016;8;83;0;0
250070005000017;8;85;0;0
250070005000018;8;58;0;0
250070005000019;5;68;0;0
250070005000020;1;140;0;0
250070005000021;5;92;0;0
250070015000001;1;20;0;0
250070015000002;8;76;0;0
250070015000003;8;126;0;0
250070015000004;8;37;0;0
250070015000005;8;88;0;0
250070015000006;8;69;0;0
250070015000007;5;173;0;0
250073405000001;1;137;0;0
250073405000002;8;108;0;0
250073405000003;8;81;0;0
250073405000004;1;86;4;0
250077505000001;1;103;0;0
250077505000002;1;207;0;0
250077505000003;8;159;0;0
250077505000004;8;142;0;0
250077505000005;8;82;0;0
250077505000006;8;99;0;1
250077505000007;5;143;0;0
250077505000008;1;164;1;0
250077505000009;1;162;0;0
250077505000010;5;48;0;0
250077505000011;5;55;0;0
250080905000001;1;155;0;0
250080905000002;1;158;0;0
250080905000003;1;183;2;0
250080905000004;1;153;0;0
250080905000005;1;180;0;0
250080905000006;1;140;0;0
250080905000007;8;42;1;0
250080905000008;8;63;1;0
250080905000009;8;36;0;0
250080905000010;8;22;0;0
250080905000011;8;54;0;0
250080905000012;8;101;1;0
250080905000013;8;94;0;0
250080905000014;8;87;0;0
250080905000015;8;48;0;0
250080905000016;8;109;1;0
250080905000017;8;123;0;0
250080905000018;8;61;0;0
250080905000019;8;47;0;0
250080905000020;8;45;0;0
250080905000021;8;44;0;0
250080905000022;8;64;0;0
250080905000023;8;29;0;0
250080905000024;8;142;0;0
250080905000025;8;13;0;0
250080905000026;8;94;0;0
250080905000027;8;74;1;0
250080905000028;8;50;1;0
250080905000029;8;19;0;0
250080905000030;8;10;0;0
250080905000031;8;34;0;0
250080905000032;5;69;0;0
250080905000033;5;77;0;0
250080905000034;5;65;0;0
250080905000035;5;3;0;0
250080905000036;1;204;4;0
250080905000037;5;147;0;0
250080905000038;5;11;0;0
250090805000001;1;114;1;0
250090805000002;1;97;1;0
250090805000003;1;152;1;0
250090805000004;1;167;0;1
250090805000005;1;59;0;0
250090805000006;1;85;0;0
250090805000007;1;133;0;0
250090805000008;1;49;0;0
250090805000009;1;179;0;0
250090805000010;8;81;0;0
250090805000011;8;127;1;0
250090805000012;8;90;0;0
250090805000013;8;67;0;0
250090805000014;8;85;0;0
250090805000015;8;231;0;0
250090805000016;1;121;0;0
250090805000017;1;134;1;0
250090805000018;1;164;0;0
250090805000019;1;106;2;0
250100505000001;1;189;0;0
250100505000002;1;210;0;0
250100505000003;1;112;0;0
250100505000004;1;161;2;0
250100505000005;1;186;4;0
250100505000006;1;108;0;0
250100505000007;1;162;0;0
250100505000008;8;200;2;0
250100505000009;8;57;0;0
250100505000010;8;89;0;0
250100505000011;8;110;0;0
250100505000012;8;124;0;0
250100505000013;8;151;0;0
250100505000014;5;259;1;0
250100505000015;8;60;0;0
250100505000016;8;91;1;0
250100505000017;8;131;1;0
250100505000018;8;263;0;0
250100505000019;5;70;1;0
250100505000020;8;283;1;0
250100505000021;7;54;0;0
250100505000022;5;42;0;0
250100505000023;5;92;3;0
250100505000024;1;127;1;0
250100505000025;1;256;0;0
250100505000026;1;161;2;0
250100505000027;1;202;2;0
250110405000001;1;43;0;0
250110405000002;1;62;0;0
250110405000003;1;116;0;0
250110405000004;1;104;0;0
250110405000005;1;151;0;0
250110405000006;1;119;0;0
250110405000007;1;159;0;0
250110405000008;1;120;0;0
250110405000009;1;257;0;0
250110405000010;1;96;2;0
250110405000011;8;109;0;0
250110405000012;8;102;0;0
250110405000013;5;114;0;1
250110405000014;8;65;0;0
250110405000015;8;15;0;0
250110405000016;8;48;0;0
250110405000017;8;55;0;0
250110405000018;8;33;0;0
250110405000019;8;96;0;0
250110405000020;8;127;0;0
250110405000021;8;43;0;0
250110405000022;1;8;0;0
250110405000023;1;87;0;0
