Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
250010605000001;1;257;340;99;10;6;0;0;0;0;523;32917;161668;86388;12210;11550;0;0;0;0;1235;712;304733;83;187;47;6;4;0;0;0;0;275;12771;86650;39067;7610;7550;0;0;0;0;602;327;153648;174;153;52;4;2;0;0;0;0;248;20146;75018;47321;4600;4000;0;0;0;0;633;385;151085;257;339;99;10;6;0;0;0;0;522;32917;161158;86388;12210;11550;0;0;0;0;1233;711;304223;83;186;47;6;4;0;0;0;0;274;12771;86140;39067;7610;7550;0;0;0;0;600;326;153138;174;153;52;4;2;0;0;0;0;248;20146;75018;47321;4600;4000;0;0;0;0;633;385;151085;
250010605000002;1;73;119;44;19;10;8;0;0;0;156;9350;57097;40152;23916;20730;26487;0;0;0;429;273;177732;22;58;18;9;4;4;0;0;0;76;2950;26940;16014;11800;8630;13600;0;0;0;191;115;79934;51;61;26;10;6;4;0;0;0;80;6400;30157;24138;12116;12100;12887;0;0;0;238;158;97798;73;119;44;19;10;8;0;0;0;156;9350;57097;40152;23916;20730;26487;0;0;0;429;273;177732;22;58;18;9;4;4;0;0;0;76;2950;26940;16014;11800;8630;13600;0;0;0;191;115;79934;51;61;26;10;6;4;0;0;0;80;6400;30157;24138;12116;12100;12887;0;0;0;238;158;97798;
250010605000003;1;84;257;92;21;23;7;0;0;0;271;11142;125739;80142;27129;45065;21720;0;0;0;755;484;310937;29;109;42;7;9;3;0;0;0;141;4173;52016;35433;9430;16855;9620;0;0;0;340;199;127527;55;148;50;14;14;4;0;0;0;130;6969;73723;44709;17699;28210;12100;0;0;0;415;285;183410;84;257;92;21;23;7;0;0;0;271;11142;125739;80142;27129;45065;21720;0;0;0;755;484;310937;29;109;42;7;9;3;0;0;0;141;4173;52016;35433;9430;16855;9620;0;0;0;340;199;127527;55;148;50;14;14;4;0;0;0;130;6969;73723;44709;17699;28210;12100;0;0;0;415;285;183410;
250010605000004;8;157;160;52;2;1;0;0;0;0;321;17534;78522;40815;2400;2200;0;0;0;0;693;372;141471;51;94;34;1;0;0;0;0;0;185;5782;45522;26666;1200;0;0;0;0;0;365;180;79170;106;66;18;1;1;0;0;0;0;136;11752;33000;14149;1200;2200;0;0;0;0;328;192;62301;157;160;52;2;1;0;0;0;0;321;17534;78522;40815;2400;2200;0;0;0;0;693;372;141471;51;94;34;1;0;0;0;0;0;185;5782;45522;26666;1200;0;0;0;0;0;365;180;79170;106;66;18;1;1;0;0;0;0;136;11752;33000;14149;1200;2200;0;0;0;0;328;192;62301;
250010605000005;5;128;130;58;4;4;2;0;0;0;217;14671;62404;46892;5267;7810;6150;0;0;0;543;326;143194;45;71;24;3;1;2;0;0;0;124;5571;34180;18434;3867;2000;6150;0;0;0;270;146;70202;83;59;34;1;3;0;0;0;0;93;9100;28224;28458;1400;5810;0;0;0;0;273;180;72992;128;130;58;4;4;2;0;0;0;217;14671;62404;46892;5267;7810;6150;0;0;0;543;326;143194;45;71;24;3;1;2;0;0;0;124;5571;34180;18434;3867;2000;6150;0;0;0;270;146;70202;83;59;34;1;3;0;0;0;0;93;9100;28224;28458;1400;5810;0;0;0;0;273;180;72992;
250010605000006;8;84;98;21;2;1;0;0;0;0;306;10129;48232;15006;2400;1600;0;0;0;0;512;206;77367;22;41;13;0;0;0;0;0;0;162;2549;19970;9185;0;0;0;0;0;0;238;76;31704;62;57;8;2;1;0;0;0;0;144;7580;28262;5821;2400;1600;0;0;0;0;274;130;45663;84;98;21;2;1;0;0;0;0;306;10129;48232;15006;2400;1600;0;0;0;0;512;206;77367;22;41;13;0;0;0;0;0;0;162;2549;19970;9185;0;0;0;0;0;0;238;76;31704;62;57;8;2;1;0;0;0;0;144;7580;28262;5821;2400;1600;0;0;0;0;274;130;45663;
250010605000007;8;59;90;18;4;3;0;0;0;1;134;6998;44020;14993;5140;5329;0;0;0;150000;309;175;226480;19;43;13;3;1;0;0;0;1;77;2472;20730;10190;4100;1609;0;0;0;150000;157;80;189101;40;47;5;1;2;0;0;0;0;57;4526;23290;4803;1040;3720;0;0;0;0;152;95;37379;59;90;18;4;3;0;0;0;1;134;6998;44020;14993;5140;5329;0;0;0;150000;309;175;226480;19;43;13;3;1;0;0;0;1;77;2472;20730;10190;4100;1609;0;0;0;150000;157;80;189101;40;47;5;1;2;0;0;0;0;57;4526;23290;4803;1040;3720;0;0;0;0;152;95;37379;
250010605000008;8;92;83;17;2;2;0;0;1;1;255;10011;41003;13300;2600;4251;0;0;8000;20000;453;198;99165;22;47;8;2;1;0;0;0;1;150;2494;22748;5900;2600;2100;0;0;0;20000;231;81;55842;70;36;9;0;1;0;0;1;0;105;7517;18255;7400;0;2151;0;0;8000;0;222;117;43323;92;83;17;2;2;0;0;1;1;255;10011;41003;13300;2600;4251;0;0;8000;20000;453;198;99165;22;47;8;2;1;0;0;0;1;150;2494;22748;5900;2600;2100;0;0;0;20000;231;81;55842;70;36;9;0;1;0;0;1;0;105;7517;18255;7400;0;2151;0;0;8000;0;222;117;43323;
250010605000009;8;152;127;28;3;2;0;0;0;0;333;17691;60740;23968;3812;4149;0;0;0;0;645;312;110360;46;63;15;1;1;0;0;0;0;204;5098;30060;13080;1500;1800;0;0;0;0;330;126;51538;106;64;13;2;1;0;0;0;0;129;12593;30680;10888;2312;2349;0;0;0;0;315;186;58822;152;127;28;3;2;0;0;0;0;333;17691;60740;23968;3812;4149;0;0;0;0;645;312;110360;46;63;15;1;1;0;0;0;0;204;5098;30060;13080;1500;1800;0;0;0;0;330;126;51538;106;64;13;2;1;0;0;0;0;129;12593;30680;10888;2312;2349;0;0;0;0;315;186;58822;
250010605000010;8;80;90;48;3;3;0;0;0;0;259;8959;44610;36973;3710;5900;0;0;0;0;483;224;100152;15;55;26;1;1;0;0;0;0;150;1864;26780;19920;1400;2000;0;0;0;0;248;98;51964;65;35;22;2;2;0;0;0;0;109;7095;17830;17053;2310;3900;0;0;0;0;235;126;48188;80;90;48;3;3;0;0;0;0;259;8959;44610;36973;3710;5900;0;0;0;0;483;224;100152;15;55;26;1;1;0;0;0;0;150;1864;26780;19920;1400;2000;0;0;0;0;248;98;51964;65;35;22;2;2;0;0;0;0;109;7095;17830;17053;2310;3900;0;0;0;0;235;126;48188;
