Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
250010605000001;1;103;208;66;6;4;0;0;0;0;49;14655;97819;59819;7220;7550;0;0;0;0;436;387;187063;59;145;29;4;3;0;0;0;0;39;9101;66940;25237;5010;5550;0;0;0;0;279;240;111838;44;63;37;2;1;0;0;0;0;10;5554;30879;34582;2210;2000;0;0;0;0;157;147;75225;103;207;66;6;4;0;0;0;0;48;14655;97309;59819;7220;7550;0;0;0;0;434;386;186553;59;144;29;4;3;0;0;0;0;38;9101;66430;25237;5010;5550;0;0;0;0;277;239;111328;44;63;37;2;1;0;0;0;0;10;5554;30879;34582;2210;2000;0;0;0;0;157;147;75225;
250010605000002;1;23;61;31;11;6;4;0;0;0;12;3532;29322;28302;14500;13030;13600;0;0;0;148;136;102286;14;37;12;7;4;4;0;0;0;11;2160;17690;9984;9500;8630;13600;0;0;0;89;78;61564;9;24;19;4;2;0;0;0;0;1;1372;11632;18318;5000;4400;0;0;0;0;59;58;40722;23;61;31;11;6;4;0;0;0;12;3532;29322;28302;14500;13030;13600;0;0;0;148;136;102286;14;37;12;7;4;4;0;0;0;11;2160;17690;9984;9500;8630;13600;0;0;0;89;78;61564;9;24;19;4;2;0;0;0;0;1;1372;11632;18318;5000;4400;0;0;0;0;59;58;40722;
250010605000003;1;24;143;62;16;20;4;0;0;0;26;3315;69364;56063;20942;39265;12720;0;0;0;295;269;201669;14;76;27;7;9;2;0;0;0;21;2208;35786;24113;9430;16855;6620;0;0;0;156;135;95012;10;67;35;9;11;2;0;0;0;5;1107;33578;31950;11512;22410;6100;0;0;0;139;134;106657;24;143;62;16;20;4;0;0;0;26;3315;69364;56063;20942;39265;12720;0;0;0;295;269;201669;14;76;27;7;9;2;0;0;0;21;2208;35786;24113;9430;16855;6620;0;0;0;156;135;95012;10;67;35;9;11;2;0;0;0;5;1107;33578;31950;11512;22410;6100;0;0;0;139;134;106657;
250010605000004;8;54;83;26;0;0;0;0;0;0;54;6036;40665;21249;0;0;0;0;0;0;217;163;67950;40;65;15;0;0;0;0;0;0;53;4532;31750;12014;0;0;0;0;0;0;173;120;48296;14;18;11;0;0;0;0;0;0;1;1504;8915;9235;0;0;0;0;0;0;44;43;19654;54;83;26;0;0;0;0;0;0;54;6036;40665;21249;0;0;0;0;0;0;217;163;67950;40;65;15;0;0;0;0;0;0;53;4532;31750;12014;0;0;0;0;0;0;173;120;48296;14;18;11;0;0;0;0;0;0;1;1504;8915;9235;0;0;0;0;0;0;44;43;19654;
250010605000005;5;53;69;38;3;3;2;0;0;0;31;6460;33059;31757;3767;5810;6150;0;0;0;199;168;87003;19;41;13;2;0;2;0;0;0;25;2567;19710;9884;2367;0;6150;0;0;0;102;77;40678;34;28;25;1;3;0;0;0;0;6;3893;13349;21873;1400;5810;0;0;0;0;97;91;46325;53;69;38;3;3;2;0;0;0;31;6460;33059;31757;3767;5810;6150;0;0;0;199;168;87003;19;41;13;2;0;2;0;0;0;25;2567;19710;9884;2367;0;6150;0;0;0;102;77;40678;34;28;25;1;3;0;0;0;0;6;3893;13349;21873;1400;5810;0;0;0;0;97;91;46325;
250010605000006;8;46;46;13;0;1;0;0;0;0;51;5980;22582;9351;0;1600;0;0;0;0;157;106;39513;11;20;5;0;0;0;0;0;0;33;1164;9740;3530;0;0;0;0;0;0;69;36;14434;35;26;8;0;1;0;0;0;0;18;4816;12842;5821;0;1600;0;0;0;0;88;70;25079;46;46;13;0;1;0;0;0;0;51;5980;22582;9351;0;1600;0;0;0;0;157;106;39513;11;20;5;0;0;0;0;0;0;33;1164;9740;3530;0;0;0;0;0;0;69;36;14434;35;26;8;0;1;0;0;0;0;18;4816;12842;5821;0;1600;0;0;0;0;88;70;25079;
250010605000007;8;25;44;5;3;2;0;0;0;1;18;3129;21960;4880;4100;3720;0;0;0;150000;98;80;187789;15;30;2;3;0;0;0;0;1;16;1900;14830;1820;4100;0;0;0;0;150000;67;51;172650;10;14;3;0;2;0;0;0;0;2;1229;7130;3060;0;3720;0;0;0;0;31;29;15139;25;44;5;3;2;0;0;0;1;18;3129;21960;4880;4100;3720;0;0;0;150000;98;80;187789;15;30;2;3;0;0;0;0;1;16;1900;14830;1820;4100;0;0;0;0;150000;67;51;172650;10;14;3;0;2;0;0;0;0;2;1229;7130;3060;0;3720;0;0;0;0;31;29;15139;
250010605000008;8;27;39;10;2;0;0;0;0;1;52;2744;19405;7823;2600;0;0;0;0;20000;131;79;52572;14;26;7;2;0;0;0;0;1;51;1352;12870;5200;2600;0;0;0;0;20000;101;50;42022;13;13;3;0;0;0;0;0;0;1;1392;6535;2623;0;0;0;0;0;0;30;29;10550;27;39;10;2;0;0;0;0;1;52;2744;19405;7823;2600;0;0;0;0;20000;131;79;52572;14;26;7;2;0;0;0;0;1;51;1352;12870;5200;2600;0;0;0;0;20000;101;50;42022;13;13;3;0;0;0;0;0;0;1;1392;6535;2623;0;0;0;0;0;0;30;29;10550;
250010605000009;8;46;59;13;2;1;0;0;0;0;60;5044;28117;11350;2612;1800;0;0;0;0;181;121;48923;30;39;7;1;1;0;0;0;0;59;3228;18365;6150;1500;1800;0;0;0;0;137;78;31043;16;20;6;1;0;0;0;0;0;1;1816;9752;5200;1112;0;0;0;0;0;44;43;17880;46;59;13;2;1;0;0;0;0;60;5044;28117;11350;2612;1800;0;0;0;0;181;121;48923;30;39;7;1;1;0;0;0;0;59;3228;18365;6150;1500;1800;0;0;0;0;137;78;31043;16;20;6;1;0;0;0;0;0;1;1816;9752;5200;1112;0;0;0;0;0;44;43;17880;
250010605000010;8;15;46;23;2;2;0;0;0;0;56;1737;22990;19258;2460;4000;0;0;0;0;144;88;50445;8;37;11;1;1;0;0;0;0;56;952;18410;9430;1400;2000;0;0;0;0;114;58;32192;7;9;12;1;1;0;0;0;0;0;785;4580;9828;1060;2000;0;0;0;0;30;30;18253;15;46;23;2;2;0;0;0;0;56;1737;22990;19258;2460;4000;0;0;0;0;144;88;50445;8;37;11;1;1;0;0;0;0;56;952;18410;9430;1400;2000;0;0;0;0;114;58;32192;7;9;12;1;1;0;0;0;0;0;785;4580;9828;1060;2000;0;0;0;0;30;30;18253;
